#,X,Y,Z,Rot,Fdr,A,B,C,D,E,Comments
C1,710.45,2247.9,1190,0,2,No,No,No,,,1uF C_0805_HandSoldering
C2,712.45,1612.9,1190,0,2,,,,,,1uF C_0805_HandSoldering
C3,3133.975,3159.125,1190,2000,2,,,,,,1uF C_0805_HandSoldering
C101,1973.83,3618.865,1190,0,2,,,,,,10uF C_0805
C102,957.83,3237.865,1190,4000,2,,,,,,10uF C_0805
C103,1469.005,3618.865,1190,4000,2,,,,,,33nF C_0805
C104,1469.005,3491.865,1190,4000,2,,,,,,33nF C_0805
C105,1469.005,3364.865,1190,4000,2,,,,,,33nF C_0805
C106,1469.005,3237.865,1190,4000,2,,,,,,33nF C_0805
C107,1973.83,3237.865,1190,0,2,,,,,,10uF C_0805
C108,957.83,3618.865,1190,4000,2,,,,,,10uF C_0805
D3,2968.875,498.475,1190,4000,2,,,,,,D_TVS_ALT D_0805
D4,2968.875,625.475,1190,4000,2,,,,,,D_TVS_ALT D_0805
D217,-224.975,2740.075,1190,4000,2,,,,,,D_TVS_ALT D_0805
D218,-224.975,2565.075,1190,4000,2,,,,,,D_TVS_ALT D_0805
D219,-224.975,2440.075,1190,4000,2,,,,,,D_TVS_ALT D_0805
D230,2271.645,3500.755,1190,0,2,,,,,,D_TVS_ALT D_0805
D231,2565.015,3397.885,1190,2000,2,,,,,,D_TVS_ALT D_0805
D232,2504.055,3523.615,1190,4000,2,,,,,,D_TVS_ALT D_0805
D233,2565.015,3234.055,1190,2000,2,,,,,,D_TVS_ALT D_0805
D234,2318.275,254.825,1190,4000,2,,,,,,D_TVS_ALT D_0805
D235,2318.275,379.825,1190,4000,2,,,,,,D_TVS_ALT D_0805
D236,2318.275,479.825,1190,4000,2,,,,,,D_TVS_ALT D_0805
D237,2318.275,629.825,1190,4000,2,,,,,,D_TVS_ALT D_0805
D238,2318,752.475,1190,4000,2,,,,,,D_TVS_ALT D_0805
D239,2318,879.475,1190,4000,2,,,,,,D_TVS_ALT D_0805
D240,2314.825,1006.475,1190,4000,2,,,,,,D_TVS_ALT D_0805
D241,2318,1260.475,1190,4000,2,,,,,,D_TVS_ALT D_0805
D242,2318,1387.475,1190,4000,2,,,,,,D_TVS_ALT D_0805
D243,2318,1895.475,1190,4000,2,,,,,,D_TVS_ALT D_0805
D244,2318,1768.475,1190,4000,2,,,,,,D_TVS_ALT D_0805
D245,2321.175,2152.65,1190,4000,2,,,,,,D_TVS_ALT D_0805
D246,2318,1514.475,1190,4000,2,,,,,,D_TVS_ALT D_0805
D247,2318,2406.65,1190,4000,2,,,,,,D_TVS_ALT D_0805
D248,2321.175,2022.475,1190,4000,2,,,,,,D_TVS_ALT D_0805
D249,2318,2279.65,1190,4000,2,,,,,,D_TVS_ALT D_0805
